__v,_id,address,branch,email,first_name,last_name,password,phone_no,pickup_point,profile_img,role,salt,semester,status,username
0,63a71245c2806026647c6c32,asdasd,B.Tech,sadssss@sasd.com,yash,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020023
0,63a71245c2806026647c6c31,asdasd,B.Tech,sadsvbss@sasd.com,udit,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020053
0,63a71245c2806026647c6c38,asdasd,B.Tech,sadssos@sasd.com,sachin,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020017
0,63a71245c2806026647c6c39,asdasd,B.Tech,sadssqs@sasd.com,sharda,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020016
0,63a71245c2806026647c6c3a,asdasd,B.Tech,sadswss@sasd.com,Aastha,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020015
0,63a71245c2806026647c6c3f,asdasd,B.Tech,sadssssx@sasd.com,prince,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020010
0,63a71245c2806026647c6c34,asdasd,B.Tech,sadssts@sasd.com,ranjeet,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020021
0,63a71245c2806026647c6c36,asdasd,B.Tech,sadssus@sasd.com,ram,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020019
0,63a71245c2806026647c6c3e,asdasd,B.Tech,sadssas@sasd.com,rohit,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020011
0,63a71245c2806026647c6c35,asdasd,B.Tech,sadssys@sasd.com,adit,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020085
0,63a71245c2806026647c6c44,asdasd,B.Tech,sadssks@sasd.com,priyanshu,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020005
0,63a71245c2806026647c6c47,asdasd,B.Tech,sadscdss@sasd.com,sarthak,mishra,12345,2311312,raigarh,https://firebasestorage.googleapis.com/v0/b/buss-pass-50f28.appspot.com/o/profileImg%2Flcwo6nk22pl?alt=media&token=e690dd8d-bfca-494e-a1f1-7b42407fc1b8,student,10,6,0,01ug19020002
